uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"1d8f7af1-c640-45d2-a567-f96d27890f17","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T08:59Z",,"OK","BART_012.9.2018-06-07",30,80,62,91,"mixed deciduous/evergreen forest",11,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"3930e762-f155-4320-aec6-34efeaf1e3b6","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T09:14Z",,"OK","BART_012.8.2018-06-07",30,80,62,91,"deciduous forest",8,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"29df45e1-72fb-4842-bdb1-17f2490a9022","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","7","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T09:30Z",,"OK","BART_012.7.2018-06-07",30,80,62,91,"deciduous forest",9,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"ce31616d-4205-4078-b045-5604c3e21152","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","4","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T09:49Z",,"OK","BART_012.4.2018-06-07",30,80,62,91,"deciduous forest",10,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"85335b1b-1249-46ef-ac99-ea33236ce558","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T10:10Z",,"OK","BART_012.1.2018-06-07",30,80,62,91,"mixed deciduous/evergreen forest",10,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"2c98c926-fa01-46d3-aae5-56d0f60f7ab8","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","2","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T10:31Z",,"OK","BART_012.2.2018-06-07",30,80,62,91,"deciduous forest",11,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"037fe6ad-cc04-41e0-8fb8-df79c62b7af6","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","3","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T10:49Z",,"OK","BART_012.3.2018-06-07",30,80,62,91,"deciduous forest",11,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"cb31ed70-343c-440d-aaca-b9e4430dd044","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","6","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T11:09Z",,"OK","BART_012.6.2018-06-07",30,80,62,91,"deciduous forest",11,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"1fa3ba17-b0f4-4201-9ade-6128d0c8a790","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","5","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2018-06-07T11:27Z",,"OK","BART_012.5.2018-06-07",30,80,62,91,"deciduous forest",11,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"029ca916-0b55-46dd-85ba-aeed90a305cd","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","7","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T12:05Z",,"OK","BART_009.7.2018-06-07",100,90,84,85,"mixed deciduous/evergreen forest",11,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"e378e259-4978-493f-b467-0e5ddd00d134","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","8","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T12:19Z",,"OK","BART_009.8.2018-06-07",100,90,84,85,"mixed deciduous/evergreen forest",13,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"38fddc24-6ab6-4868-8322-b9dc90ba8839","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","9","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T12:32Z",,"OK","BART_009.9.2018-06-07",100,90,84,85,"evergreen forest",12,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"2686170c-df1a-4fd6-88e1-365d94b1999d","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","6","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T12:45Z",,"OK","BART_009.6.2018-06-07",100,90,84,85,"deciduous forest",13,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"89bb780c-6bb3-4c69-adca-7608ad8121b3","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","3","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T13:00Z",,"OK","BART_009.3.2018-06-07",100,90,84,85,"mixed deciduous/evergreen forest",12,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"9d871f2b-5047-4f26-a1e3-666640709a77","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","2","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T13:15Z",,"OK","BART_009.2.2018-06-07",100,90,84,85,"mixed deciduous/evergreen forest",13,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"0f80bf0e-202e-41ab-ba9e-7e83254b3d2d","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","1","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T13:31Z",,"OK","BART_009.1.2018-06-07",100,90,84,85,"mixed deciduous/evergreen forest",13,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"b6ba0db2-904a-4be9-94b4-d34cd4556eb4","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","5","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T13:50Z",,"OK","BART_009.5.2018-06-07",100,90,84,85,"mixed deciduous/evergreen forest",13,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"4a37669d-f8f5-4764-b293-fe503ac673ca","BART_009.birdGrid.brd","D01","BART","BART_009","distributed","4","deciduousForest",44.054091,-71.299906,"WGS84",250.3,359.7,0.3,"2018-06-07T14:04Z",,"OK","BART_009.4.2018-06-07",100,90,84,85,"deciduous forest",14,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"ae4c2110-3bae-4bbf-a4d3-0de074aff7ad","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","1","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2018-06-08T09:24Z",,"OK","BART_004.1.2018-06-08",80,70,77,81,"deciduous forest",14,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
"07733167-b0fd-48ed-8d84-572e26d914d7","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","4","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2018-06-08T09:40Z",,"OK","BART_004.4.2018-06-08",80,70,77,81,"mixed deciduous/evergreen forest",13,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"JRUEB"
