name,pubCode,description,startDate,endDate
"brd.detectionMethod","visual","visual",2012-01-01T00:00:00Z,
"brd.detectionMethod","calling","calling",2012-01-01T00:00:00Z,
"brd.detectionMethod","singing","singing",2012-01-01T00:00:00Z,
"brd.detectionMethod","drumming","drumming",2012-01-01T00:00:00Z,
"brd.detectionMethod","flyover","flyover",2012-01-01T00:00:00Z,
"brd.detectionMethod","other aural (e.g. wing beats)","other aural (e.g. wing beats)",2012-01-01T00:00:00Z,
"brd.detectionMethod","visual and singing","visual and singing",2012-01-01T00:00:00Z,
"brd.detectionMethod","calling and singing","calling and singing",2012-01-01T00:00:00Z,
"brd.detectionMethod","drumming and singing","drumming and singing",2012-01-01T00:00:00Z,
"brd.detectionMethod","flyover and singing","flyover and singing",2012-01-01T00:00:00Z,
"brd.detectionMethod","other aural and singing","other aural and singing",2012-01-01T00:00:00Z,
"brd.detectionMethod","unknown","unknown",2012-01-01T00:00:00Z,
"brd.evaluationMethod","startSeasonBirdQuiz","Quiz on bird ID given at start of sampling season",2012-01-01T00:00:00Z,
"brd.evaluationMethod","midSeasonBirdQuiz","Quiz on bird ID given at midpoint of sampling season",2012-01-01T00:00:00Z,
"brd.evaluationMethod","endSeasonBirdQuiz","Quiz on bird ID given at end of sampling season",2012-01-01T00:00:00Z,
"brd.evaluationMethod","protocolQuiz","Quiz on protocol contents",2018-01-01T00:00:00Z,
"brd.habitatCode","mixed deciduous/evergreen forest","mixed deciduous/evergreen forest",2012-01-01T00:00:00Z,
"brd.habitatCode","evergreen forest","evergreen forest",2012-01-01T00:00:00Z,
"brd.habitatCode","deciduous forest","deciduous forest",2012-01-01T00:00:00Z,
"brd.habitatCode","grassland","grassland",2012-01-01T00:00:00Z,
"brd.habitatCode","shrubland","shrubland",2012-01-01T00:00:00Z,
"brd.habitatCode","riparian","riparian",2012-01-01T00:00:00Z,
"brd.habitatCode","agriculture/rural","agriculture/rural",2012-01-01T00:00:00Z,
"brd.habitatCode","barren","barren",2012-01-01T00:00:00Z,
"brd.habitatCode","developed","developed",2012-01-01T00:00:00Z,
"brd.habitatCode","wetland","wetland",2012-01-01T00:00:00Z,
"brd.habitatCode","other","other",2012-01-01T00:00:00Z,
"brd.institution","Rocky Mountain Bird Observatory","Rocky Mountain Bird Observatory",2012-01-01T00:00:00Z,
"brd.institution","Conservation Management Institute at Virginia Tech University","Conservation Management Institute at Virginia Tech University",2012-01-01T00:00:00Z,
"brd.institution","Massachusetts Audubon Society","Massachusetts Audubon Society",2012-01-01T00:00:00Z,
"brd.institution","Bird Conservancy of the Rockies","Bird Conservancy of the Rockies",2012-01-01T00:00:00Z,
"brd.institution","Kingfischer Consulting","Kingfischer Consulting",2012-01-01T00:00:00Z,
"brd.institution","Klamath Bird Observatory","Klamath Bird Observatory",2012-01-01T00:00:00Z,
"brd.institution","Point Blue Conservation Science","Point Blue Conservation Science",2012-01-01T00:00:00Z,
"brd.institution","Smithsonian Conservation Biology Institution","Smithsonian Conservation Biology Institution",2012-01-01T00:00:00Z,
"brd.institution","University of Wisconsin - Stevens Point","University of Wisconsin - Stevens Point",2012-01-01T00:00:00Z,
"brd.institution","University of Hawaii Hilo","University of Hawaii Hilo",2012-01-01T00:00:00Z,
"brd.institution","Unaffiliated","Unaffiliated",2012-01-01T00:00:00Z,
"brd.institution","Other","Other",2012-01-01T00:00:00Z,
"brd.institution","None","None",2012-01-01T00:00:00Z,
"brd.institution","Pteravia LLC","Pteravia LLC",2018-01-01T00:00:00Z,
"brd.institution","Regalis LLC","Regalis LLC",2018-01-01T00:00:00Z,
"brd.pointID","1","Point 1",2012-01-01T00:00:00Z,
"brd.pointID","2","Point 2",2012-01-01T00:00:00Z,
"brd.pointID","3","Point 3",2012-01-01T00:00:00Z,
"brd.pointID","4","Point 4",2012-01-01T00:00:00Z,
