uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy,identificationHistoryID
"8ff17f38-346d-4cb7-827a-f9002683c6b1","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","3","2023-06-16T10:25Z","BART_016.3.2023-06-16",5,"N",,,,,,,,,,,"KKLAP",
"0aefb2bb-5c22-405f-9624-4a6f97ff9da8","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","3","2023-06-16T10:25Z","BART_016.3.2023-06-16",4,"N",,,,,,,,,,,"KKLAP",
"2965d03a-5d55-407b-b66f-84abde75c02d","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","3","2023-06-16T10:25Z","BART_016.3.2023-06-16",6,"N",,,,,,,,,,,"KKLAP",
"ef1a5309-edf2-4485-8d92-219c801b0800","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","3","2023-06-16T10:25Z","BART_016.3.2023-06-16",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",34,"singing","No","Unknown",1,,"KKLAP",
"8ccbcedd-2b04-4e84-a610-bc69ac21fee8","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","3","2023-06-16T10:25Z","BART_016.3.2023-06-16",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",28,"singing","No","Unknown",1,,"KKLAP",
"26fd4ef8-b0d4-42c2-96ed-8fe781d48026","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","3","2023-06-16T10:25Z","BART_016.3.2023-06-16",2,"N",,,,,,,,,,,"KKLAP",
"65e52118-377a-49ae-bf09-ca39e1212d17","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","3","2023-06-16T10:25Z","BART_016.3.2023-06-16",3,"N",,,,,,,,,,,"KKLAP",
"170be923-2888-4ee7-ba65-8a31b5dbeb71","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","3","2023-06-16T10:25Z","BART_016.3.2023-06-16",1,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren",42,"singing","No","Unknown",1,,"KKLAP",
"40cc0864-c128-4384-8779-42e069aa58cf","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","2","2023-06-16T10:44Z","BART_016.2.2023-06-16",3,"N",,,,,,,,,,,"KKLAP",
"7090b077-f17d-40a7-b9fe-df1f9eebfd0f","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","2","2023-06-16T10:44Z","BART_016.2.2023-06-16",6,"N",,,,,,,,,,,"KKLAP",
"a916c4d4-1e69-490d-8bbd-3393828a05ac","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","2","2023-06-16T10:44Z","BART_016.2.2023-06-16",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler",21,"singing","No","Unknown",1,,"KKLAP",
"0b006b5a-4d8d-4ce6-b1bb-26c705d6a2c8","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","2","2023-06-16T10:44Z","BART_016.2.2023-06-16",4,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler",33,"singing","No","Unknown",1,,"KKLAP",
"d416568a-b1d4-4909-af00-99ee90ff3c1a","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","2","2023-06-16T10:44Z","BART_016.2.2023-06-16",5,"N",,,,,,,,,,,"KKLAP",
"98f29af3-d0c7-4918-978e-31524d2d0055","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","2","2023-06-16T10:44Z","BART_016.2.2023-06-16",1,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren",55,"singing","No","Unknown",1,,"KKLAP",
"35ceb410-2a21-43eb-acc7-436332b3ba50","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","2","2023-06-16T10:44Z","BART_016.2.2023-06-16",2,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler",27,"singing","No","Unknown",1,,"KKLAP",
"d11f1b97-65fc-41c9-bd99-8f9ade798274","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","2","2023-06-16T10:44Z","BART_016.2.2023-06-16",1,"Y","BHVI","Vireo solitarius","species","Blue-headed Vireo",26,"singing","No","Unknown",1,,"KKLAP",
"1c086683-0d31-43f1-a48a-9eabb9551f19","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","1","2023-06-16T11:05Z","BART_016.1.2023-06-16",6,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler",33,"singing","No","Unknown",1,,"KKLAP",
"22e6d1f6-b46d-486e-b446-339d235b1280","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","1","2023-06-16T11:05Z","BART_016.1.2023-06-16",6,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler",27,"singing","No","Unknown",1,,"KKLAP",
"dce7262d-9105-47ca-94e2-28eabd50e9d4","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","1","2023-06-16T11:05Z","BART_016.1.2023-06-16",2,"Y","BLJA","Cyanocitta cristata","species","Blue Jay",81,"calling","No","Unknown",1,,"KKLAP",
"6a7c0ac9-bd6b-4352-96af-0f7672b0fc1a","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","1","2023-06-16T11:05Z","BART_016.1.2023-06-16",1,"Y","BRCR","Certhia americana","species","Brown Creeper",22,"singing","No","Unknown",1,,"KKLAP",
"aeab9d7c-b24d-4bb4-848b-34050a41e6e0","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","1","2023-06-16T11:05Z","BART_016.1.2023-06-16",5,"Y","HETH","Catharus guttatus","species","Hermit Thrush",85,"singing","No","Unknown",1,,"KKLAP",
"8004d5f2-83ba-415c-9d9a-46790e23593f","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","1","2023-06-16T11:05Z","BART_016.1.2023-06-16",2,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",38,"singing","No","Unknown",1,,"KKLAP",
