uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"0f8a2969-7a71-4636-bc7c-db952fa41e7f","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","3","mixedForest",44.049256,-71.285512,"WGS84",250.1,325.4,0.2,"2023-06-16T10:25Z",,"OK","BART_016.3.2023-06-16",70,30,87,76,"deciduous forest",14,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","O = wing beats as it flushed","KKLAP"
"22bad1f1-262a-46ad-b486-1c004c9a180c","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","2","mixedForest",44.049256,-71.285512,"WGS84",250.1,325.4,0.2,"2023-06-16T10:44Z",,"OK","BART_016.2.2023-06-16",70,30,87,76,"mixed deciduous/evergreen forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","O = wing beats as it flushed","KKLAP"
"aaf19ead-b1a6-438e-8e3b-9a24428d17fd","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","1","mixedForest",44.049256,-71.285512,"WGS84",250.1,325.4,0.2,"2023-06-16T11:05Z",,"OK","BART_016.1.2023-06-16",70,30,87,76,"mixed deciduous/evergreen forest",16,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","O = wing beats as it flushed","KKLAP"
"23c9373f-0d47-456b-b2d5-044ee9f5f559","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","4","mixedForest",44.049256,-71.285512,"WGS84",250.1,325.4,0.2,"2023-06-16T11:28Z",,"OK","BART_016.4.2023-06-16",70,30,87,76,"deciduous forest",16,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","O = wing beats as it flushed","KKLAP"
"8e57c109-21cc-4b51-b584-22f32d441672","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","5","mixedForest",44.049256,-71.285512,"WGS84",250.1,325.4,0.2,"2023-06-16T11:43Z",,"OK","BART_016.5.2023-06-16",70,30,87,76,"mixed deciduous/evergreen forest",17,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","O = wing beats as it flushed","KKLAP"
"eea60d32-128b-4f81-8dde-bf91c7739ade","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","6","mixedForest",44.049256,-71.285512,"WGS84",250.1,325.4,0.2,"2023-06-16T12:00Z",,"OK","BART_016.6.2023-06-16",70,30,87,76,"deciduous forest",16,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","O = wing beats as it flushed","KKLAP"
"204060e7-371d-44fa-8c65-beda5b3f3294","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","9","mixedForest",44.049256,-71.285512,"WGS84",250.1,325.4,0.2,"2023-06-16T12:21Z",,"OK","BART_016.9.2023-06-16",70,30,87,76,"deciduous forest",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","O = wing beats as it flushed","KKLAP"
"38890436-612e-4d2f-9300-7b01334008cd","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","8","mixedForest",44.049256,-71.285512,"WGS84",250.1,325.4,0.2,"2023-06-16T12:44Z",,"OK","BART_016.8.2023-06-16",70,30,87,76,"mixed deciduous/evergreen forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","O = wing beats as it flushed","KKLAP"
"35881474-c028-4ef9-9e9e-4232a5d1c6e9","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","7","mixedForest",44.049256,-71.285512,"WGS84",250.1,325.4,0.2,"2023-06-16T13:06Z",,"OK","BART_016.7.2023-06-16",70,30,87,76,"deciduous forest",19,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","O = wing beats as it flushed","KKLAP"
"fb6ae9a6-fb82-4696-99cf-0c74e0a90105","BART_082.birdGrid.brd","D01","BART","BART_082","distributed","2","evergreenForest",44.056702,-71.287159,"WGS84",250.5,292.7,0.8,"2023-06-19T10:14Z",,"OK","BART_082.2.2023-06-19",15,10,86,85,"mixed deciduous/evergreen forest",9,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","Noise from stream at points 5, 9, & 1 (hard to hear)","KKLAP"
