uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy,identificationHistoryID
"b7fd0fe5-8818-44eb-a160-95829c206b42","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",2,"Y","WBNU","Sitta carolinensis","species","White-breasted Nuthatch",50,"calling","No","Unknown",1,,"JRITT",
"fcc57db3-7307-4cdd-931d-49e618881fa4","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",1,"Y","HETH","Catharus guttatus","species","Hermit Thrush",29,"singing","No","Unknown",1,,"JRITT",
"a9af1b3a-3705-40c9-af21-1ac772b53f88","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",1,"Y","HETH","Catharus guttatus","species","Hermit Thrush",14,"singing","No","Unknown",1,,"JRITT",
"e4e22470-db04-4c46-8f94-020458e9b8f3","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",1,"Y","CORA","Corvus corax","species","Common Raven",48,"calling","No","Unknown",1,,"JRITT",
"151ae3cc-f9aa-4392-85c5-8d50ded020b7","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",1,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler",28,"singing","No","Unknown",1,,"JRITT",
"d992e229-30dd-4347-9532-3f365f98b393","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",1,"Y","DOWO","Picoides pubescens","species","Downy Woodpecker",53,"calling","No","Unknown",1,,"JRITT",
"0919bc14-43ff-4a48-b836-45f267d761f5","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",20,"singing","No","Unknown",1,,"JRITT",
"a8d01ed1-a810-4d80-92c3-8b55649fbddc","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",12,"singing","No","Unknown",1,,"JRITT",
"55e823b6-46d8-4eb5-ad48-8536c5fdee9d","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",64,"singing","No","Unknown",1,,"JRITT",
"a5f75530-a846-4eaf-b522-f4a251d24ec9","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",2,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",56,"singing","No","Unknown",1,,"JRITT",
"d0308036-f33d-4105-8358-7935367d972a","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",1,"Y","BCCH","Poecile atricapillus","species","Black-capped Chickadee",8,"calling","Yes","Unknown",3,,"JRITT",
"96fe5961-4354-4bda-9713-36fa767984cf","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",6,"Y","YBSA","Sphyrapicus varius","species","Yellow-bellied Sapsucker",49,"calling","No","Unknown",1,,"JRITT",
"4b965c8c-d240-4a0a-8e83-220a68b47c97","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",5,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler",41,"singing","No","Unknown",1,,"JRITT",
"053ba533-c93e-4d5c-9e4d-4a8aec776c71","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",5,"Y","BLJA","Cyanocitta cristata","species","Blue Jay",77,"calling","No","Unknown",1,,"JRITT",
"9839eabd-85f8-4679-8aac-2f4f909b188a","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",4,"N",,,,,,,,,,,"JRITT",
"e21abd06-6522-442e-8498-0db89abd1199","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","2016-06-20T09:35Z","BART_018.9.2016-06-20",3,"N",,,,,,,,,,,"JRITT",
"f73afd92-4090-47e7-a8d4-79a76944d2c4","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","6","2016-06-20T09:53Z","BART_018.6.2016-06-20",1,"Y","HETH","Catharus guttatus","species","Hermit Thrush",52,"singing","No","Unknown",1,,"JRITT",
"36125c4a-a5b8-4d30-b8d4-69f4b5d3d86b","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","6","2016-06-20T09:53Z","BART_018.6.2016-06-20",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",13,"singing","No","Unknown",1,,"JRITT",
"61c2a84e-e84e-4168-bb18-c82c822b79ba","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","6","2016-06-20T09:53Z","BART_018.6.2016-06-20",4,"N",,,,,,,,,,,"JRITT",
"b95e9c1e-aa5f-4f02-8aec-28f8d82c2e1b","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","6","2016-06-20T09:53Z","BART_018.6.2016-06-20",3,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler",61,"singing","No","Unknown",1,,"JRITT",
