uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"a983adfd-8b73-4495-b24b-0fa351e1b0d6","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","9","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2021-06-19T09:56Z",,"OK","BART_012.9.2021-06-19",100,88,81,74,"mixed deciduous/evergreen forest",16,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","UNBI @ 012-9 AMRE? Ascending; 012-08 - Light rain pick up after pt.; UNBI @ 12-07 very fast drum; Grouse sounds upon pulling car up near 12-9; *Quiet downward whistle almost nestling like NOT sure if AMRO->(it's a VEER***); UNBI 12-06 #6 OVEN in response to BLJA? 2 REVI starting mobbing/012-03 BCCH @ pt. soft singing;","JGLAG"
"9060e6e0-8d33-4580-bc11-bbd383d184fc","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","8","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2021-06-19T10:29Z",,"OK","BART_012.8.2021-06-19",100,88,81,74,"deciduous forest",17,3,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","UNBI @ 012-9 AMRE? Ascending; 012-08 - Light rain pick up after pt.; UNBI @ 12-07 very fast drum; Grouse sounds upon pulling car up near 12-9; *Quiet downward whistle almost nestling like NOT sure if AMRO->(it's a VEER***); UNBI 12-06 #6 OVEN in response to BLJA? 2 REVI starting mobbing/012-03 BCCH @ pt. soft singing;","JGLAG"
"7d3d1e71-f6c4-44cd-8a70-6b8ffc825a2b","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","7","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2021-06-19T10:49Z",,"OK","BART_012.7.2021-06-19",100,88,81,74,"deciduous forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","UNBI @ 012-9 AMRE? Ascending; 012-08 - Light rain pick up after pt.; UNBI @ 12-07 very fast drum; Grouse sounds upon pulling car up near 12-9; *Quiet downward whistle almost nestling like NOT sure if AMRO->(it's a VEER***); UNBI 12-06 #6 OVEN in response to BLJA? 2 REVI starting mobbing/012-03 BCCH @ pt. soft singing;","JGLAG"
"bfefacba-653e-47fb-ae84-47c3b29694a3","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","4","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2021-06-19T11:15Z",,"OK","BART_012.4.2021-06-19",100,88,81,74,"deciduous forest",16,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","UNBI @ 012-9 AMRE? Ascending; 012-08 - Light rain pick up after pt.; UNBI @ 12-07 very fast drum; Grouse sounds upon pulling car up near 12-9; *Quiet downward whistle almost nestling like NOT sure if AMRO->(it's a VEER***); UNBI 12-06 #6 OVEN in response to BLJA? 2 REVI starting mobbing/012-03 BCCH @ pt. soft singing;","JGLAG"
"1a60eac3-d9cd-4270-a328-1b562b7333b0","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","1","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2021-06-19T11:48Z",,"OK","BART_012.1.2021-06-19",100,88,81,74,"deciduous forest",18,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","UNBI @ 012-9 AMRE? Ascending; 012-08 - Light rain pick up after pt.; UNBI @ 12-07 very fast drum; Grouse sounds upon pulling car up near 12-9; *Quiet downward whistle almost nestling like NOT sure if AMRO->(it's a VEER***); UNBI 12-06 #6 OVEN in response to BLJA? 2 REVI starting mobbing/012-03 BCCH @ pt. soft singing;","JGLAG"
"f37ddeaa-e976-423c-9caa-69c03f8637b4","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","2","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2021-06-19T12:13Z",,"OK","BART_012.2.2021-06-19",100,88,81,74,"deciduous forest",18,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","UNBI @ 012-9 AMRE? Ascending; 012-08 - Light rain pick up after pt.; UNBI @ 12-07 very fast drum; Grouse sounds upon pulling car up near 12-9; *Quiet downward whistle almost nestling like NOT sure if AMRO->(it's a VEER***); UNBI 12-06 #6 OVEN in response to BLJA? 2 REVI starting mobbing/012-03 BCCH @ pt. soft singing;","JGLAG"
"59a93d30-92d7-461d-b1ad-0df59edfec50","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","5","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2021-06-19T12:36Z",,"OK","BART_012.5.2021-06-19",100,88,81,74,"deciduous forest",18,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","UNBI @ 012-9 AMRE? Ascending; 012-08 - Light rain pick up after pt.; UNBI @ 12-07 very fast drum; Grouse sounds upon pulling car up near 12-9; *Quiet downward whistle almost nestling like NOT sure if AMRO->(it's a VEER***); UNBI 12-06 #6 OVEN in response to BLJA? 2 REVI starting mobbing/012-03 BCCH @ pt. soft singing;","JGLAG"
"21fbd26d-c857-47ad-aff5-d33ce9631b3b","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","6","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2021-06-19T13:00Z",,"OK","BART_012.6.2021-06-19",100,88,81,74,"deciduous forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","UNBI @ 012-9 AMRE? Ascending; 012-08 - Light rain pick up after pt.; UNBI @ 12-07 very fast drum; Grouse sounds upon pulling car up near 12-9; *Quiet downward whistle almost nestling like NOT sure if AMRO->(it's a VEER***); UNBI 12-06 #6 OVEN in response to BLJA? 2 REVI starting mobbing/012-03 BCCH @ pt. soft singing;","JGLAG"
"aa5e8e7f-73ec-4c7a-9b47-aeb77459f380","BART_012.birdGrid.brd","D01","BART","BART_012","distributed","3","deciduousForest",44.047818,-71.315729,"WGS84",250.4,587.5,0.4,"2021-06-19T13:35Z",,"OK","BART_012.3.2021-06-19",100,88,81,74,"deciduous forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","UNBI @ 012-9 AMRE? Ascending; 012-08 - Light rain pick up after pt.; UNBI @ 12-07 very fast drum; Grouse sounds upon pulling car up near 12-9; *Quiet downward whistle almost nestling like NOT sure if AMRO->(it's a VEER***); UNBI 12-06 #6 OVEN in response to BLJA? 2 REVI starting mobbing/012-03 BCCH @ pt. soft singing;","JGLAG"
"a63faa97-fb8e-416c-93c4-9cdd738fe0e2","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","6","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2021-06-20T09:16Z",,"OK","BART_018.6.2021-06-20",13,,79,,"mixed deciduous/evergreen forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"JGLAG"
"75126311-033b-429d-8ee8-2c1a860f2150","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","3","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2021-06-20T10:12Z",,"OK","BART_004.3.2021-06-20",13,,79,,"mixed deciduous/evergreen forest",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","004-04 BLBW fem + BTBW male had a spat; *004-05 constant chipping. Don't think it ever sang. I suspect possible fledgling; 004-08 WOTH singing at pt during data but b/f count; 004-03 suspect OVEN - they were chasing a mink or fisher","JGLAG"
"58ea1487-ba65-46ad-b05b-a9e9c8b06ef4","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","2","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2021-06-20T10:32Z",,"OK","BART_004.2.2021-06-20",13,,79,,"mixed deciduous/evergreen forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","004-04 BLBW fem + BTBW male had a spat; *004-05 constant chipping. Don't think it ever sang. I suspect possible fledgling; 004-08 WOTH singing at pt during data but b/f count; 004-03 suspect OVEN - they were chasing a mink or fisher","JGLAG"
"24371d9f-2a40-4165-b2f6-6d08043c92b9","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","1","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2021-06-20T10:53Z",,"OK","BART_004.1.2021-06-20",13,,79,,"deciduous forest",17,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","004-04 BLBW fem + BTBW male had a spat; *004-05 constant chipping. Don't think it ever sang. I suspect possible fledgling; 004-08 WOTH singing at pt during data but b/f count; 004-03 suspect OVEN - they were chasing a mink or fisher","JGLAG"
"81426c59-f8d6-4cb6-a028-591b82d1bfc1","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","4","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2021-06-20T11:17Z",,"OK","BART_004.4.2021-06-20",13,,79,,"mixed deciduous/evergreen forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","004-04 BLBW fem + BTBW male had a spat; *004-05 constant chipping. Don't think it ever sang. I suspect possible fledgling; 004-08 WOTH singing at pt during data but b/f count; 004-03 suspect OVEN - they were chasing a mink or fisher","JGLAG"
"1e5c049c-7803-488c-bdaf-8a3dada0f7d3","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","5","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2021-06-20T11:46Z",,"OK","BART_004.5.2021-06-20",13,,79,,"mixed deciduous/evergreen forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","004-04 BLBW fem + BTBW male had a spat; *004-05 constant chipping. Don't think it ever sang. I suspect possible fledgling; 004-08 WOTH singing at pt during data but b/f count; 004-03 suspect OVEN - they were chasing a mink or fisher","JGLAG"
"783c26c2-1666-4782-a62f-d0f2d12b5ad2","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","6","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2021-06-20T12:15Z",,"OK","BART_004.6.2021-06-20",13,,79,,"mixed deciduous/evergreen forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","004-04 BLBW fem + BTBW male had a spat; *004-05 constant chipping. Don't think it ever sang. I suspect possible fledgling; 004-08 WOTH singing at pt during data but b/f count; 004-03 suspect OVEN - they were chasing a mink or fisher","JGLAG"
"ebf3b02a-c630-4d49-9fd4-dd5d075279aa","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","9","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2021-06-20T12:40Z",,"OK","BART_004.9.2021-06-20",13,,79,,"deciduous forest",20,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","004-04 BLBW fem + BTBW male had a spat; *004-05 constant chipping. Don't think it ever sang. I suspect possible fledgling; 004-08 WOTH singing at pt during data but b/f count; 004-03 suspect OVEN - they were chasing a mink or fisher","JGLAG"
"06673369-f89b-4bea-b683-f0fdcb7bc861","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","8","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2021-06-20T13:04Z",,"OK","BART_004.8.2021-06-20",13,,79,,"deciduous forest",20,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","004-04 BLBW fem + BTBW male had a spat; *004-05 constant chipping. Don't think it ever sang. I suspect possible fledgling; 004-08 WOTH singing at pt during data but b/f count; 004-03 suspect OVEN - they were chasing a mink or fisher","JGLAG"
"aec76b9e-27ff-4fb6-84e5-4c3e539be23d","BART_004.birdGrid.brd","D01","BART","BART_004","distributed","7","mixedForest",44.041220,-71.287007,"WGS84",250.2,526.3,0.5,"2021-06-20T13:25Z",,"OK","BART_004.7.2021-06-20",13,,79,,"mixed deciduous/evergreen forest",20,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","004-04 BLBW fem + BTBW male had a spat; *004-05 constant chipping. Don't think it ever sang. I suspect possible fledgling; 004-08 WOTH singing at pt during data but b/f count; 004-03 suspect OVEN - they were chasing a mink or fisher","JGLAG"
"b5d07371-07da-4f0a-a09a-d6dd1481173b","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","1","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2021-06-21T09:03Z",,"OK","BART_018.1.2021-06-21",25,63,75,100,"deciduous forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","*UNBI @ 018-01 one long downward 'Whooo' Barred or Great; *UNBI @ 018-05 small warbler-like in pine","JGLAG"
"40c599cf-bd59-4ef7-8bf1-f44c0164ad5a","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","5","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2021-06-21T09:30Z",,"OK","BART_018.5.2021-06-21",25,63,75,100,"deciduous forest",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","*UNBI @ 018-01 one long downward 'Whooo' Barred or Great; *UNBI @ 018-05 small warbler-like in pine","JGLAG"
"1011e1a5-0650-4fb8-812a-9ecea7245ddf","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2021-06-21T09:50Z",,"OK","BART_018.9.2021-06-21",25,63,75,100,"mixed deciduous/evergreen forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","*UNBI @ 018-01 one long downward 'Whooo' Barred or Great; *UNBI @ 018-05 small warbler-like in pine","JGLAG"
"741dd1a9-e4a1-4c96-af7d-1440904de755","BART_015.birdGrid.brd","D01","BART","BART_015","distributed","1","mixedForest",44.042644,-71.273028,"WGS84",250.2,437.2,0.2,"2021-06-21T10:11Z",,"OK","BART_015.1.2021-06-21",25,63,75,100,"deciduous forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","015-04 along trail and near river; 015-07 a little more DF side; 015-07 along trail prior to pt. saw a BTNW (unknown sex) + BTBW fem seemed to copulate or fight??; 015-07 BLBW@#5 actually detected visually first at #4 but don't think it was UNBI, UNBI may be a BTNW which began singing after pt.; 015-08 Light rain, darker RAIN real dark went to car; 015-09 Uphill from stream; 015-09 Large bird flush from ground to tree above stream upon approach never got ID but think birds were mobbing it during","JGLAG"
"ece3d380-ab3b-4043-80a2-704504f76318","BART_015.birdGrid.brd","D01","BART","BART_015","distributed","4","mixedForest",44.042644,-71.273028,"WGS84",250.2,437.2,0.2,"2021-06-21T10:31Z",,"OK","BART_015.4.2021-06-21",25,63,75,100,"mixed deciduous/evergreen forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","015-04 along trail and near river; 015-07 a little more DF side; 015-07 along trail prior to pt. saw a BTNW (unknown sex) + BTBW fem seemed to copulate or fight??; 015-07 BLBW@#5 actually detected visually first at #4 but don't think it was UNBI, UNBI may be a BTNW which began singing after pt.; 015-08 Light rain, darker RAIN real dark went to car; 015-09 Uphill from stream; 015-09 Large bird flush from ground to tree above stream upon approach never got ID but think birds were mobbing it during","JGLAG"
"dd7160f2-5636-4552-9be6-84626ce6b25c","BART_015.birdGrid.brd","D01","BART","BART_015","distributed","7","mixedForest",44.042644,-71.273028,"WGS84",250.2,437.2,0.2,"2021-06-21T10:53Z",,"OK","BART_015.7.2021-06-21",25,63,75,100,"mixed deciduous/evergreen forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","015-04 along trail and near river; 015-07 a little more DF side; 015-07 along trail prior to pt. saw a BTNW (unknown sex) + BTBW fem seemed to copulate or fight??; 015-07 BLBW@#5 actually detected visually first at #4 but don't think it was UNBI, UNBI may be a BTNW which began singing after pt.; 015-08 Light rain, darker RAIN real dark went to car; 015-09 Uphill from stream; 015-09 Large bird flush from ground to tree above stream upon approach never got ID but think birds were mobbing it during","JGLAG"
"218b815d-9675-4051-90f2-21eaa6eafcd3","BART_015.birdGrid.brd","D01","BART","BART_015","distributed","8","mixedForest",44.042644,-71.273028,"WGS84",250.2,437.2,0.2,"2021-06-21T12:34Z",,"OK","BART_015.8.2021-06-21",25,63,75,100,"deciduous forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK","015-04 along trail and near river; 015-07 a little more DF side; 015-07 along trail prior to pt. saw a BTNW (unknown sex) + BTBW fem seemed to copulate or fight??; 015-07 BLBW@#5 actually detected visually first at #4 but don't think it was UNBI, UNBI may be a BTNW which began singing after pt.; 015-08 Light rain, darker RAIN real dark went to car; 015-09 Uphill from stream; 015-09 Large bird flush from ground to tree above stream upon approach never got ID but think birds were mobbing it during","JGLAG"
